return_direction,point_winner,point_end_type,point_end_location,kitchen_rush,server_score,returner_score,shot_count
Cross Court,Returner,Winner,Mid-Court,Returner,8,5,10
Cross Court,Server,Unforced Error,Mid-Court,Returner,5,8,10
Cross Court,Returner,Winner,Baseline,Server,6,8,6
Cross Court,Returner,Unforced Error,Baseline,None,8,6,3
Cross Court,Returner,Unforced Error,Baseline,None,6,8,3
Down The line,Server,Forced Error,Mid-Court,Returner,8,6,4
Down The line,Server,Forced Error,Kitchen,Both,9,6,9
Cross Court,Returner,Unforced Error,Baseline,Returner,10,6,3
Cross Court,Returner,Winner,Mid-Court,Returner,6,10,4
Middle,Server,Unforced Error,Mid-Court,Returner,10,6,4
Cross Court,Server,Unforced Error,Baseline,None,1,0,3
N/A,Server,Winner,Baseline,Returner,2,0,2
Down The Line,Returner,Unforced Error,Baseline,Returner,2,0,7
Cross Court,Returner,Winner,Baseline,Server,0,2,4
Middle,Returner,Forced Error,Kitchen,Both,0,2,7
Middle,Returner,Unforced Error,Baseline,Returner,2,0,3
Middle,Server,Unforced Error,Baseline,Returner,1,2,4
Middle,Server,Unforced Error,Mid-Court,Server,2,2,4
Cross Court,Returner,Winner,Baseline,Both,2,2,3
Down The Line,Server,Winner,Baseline,None,3,2,11
Middle,Server,Winner,Baseline,Returner,4,2,5
Middle,Returner,Forced Error,Baseline,Returner,4,2,5
Cross Court,Server,Winner,Mid-Court,Server,3,4,9
Cross Court,Server,Winner,Mid-Court,Server,4,4,7
Cross Court,Returner,Winner,Baseline,Server,4,4,10
N/A,Server,Unforced Error,Baseline,None,5,4,2
Middle,Returner,Unforced Error,Mid-Court,None,5,4,5
Cross Court,Server,Forced Error,Baseline,None,5,5,5
Middle,Server,Forced Error,Baseline,None,6,5,6
Cross Court,Server,Unforced Error,Baseline,None,7,5,4
Middle,Server,Unforced Error,Baseline,Server,8,5,4
Middle,Returner,Winner,Baseline,Server,8,5,4
Middle,Server,Forced Error,Kitchen,Both,6,8,6
Cross Court,Returner,Winner,Mid-Court,Returner,6,8,8
Cross Court,Returner,Unforced Error,Mid-Court,Returner,6,8,5
Middle,Server,Forced Error,Kitchen,Both,7,8,6
Cross Court,Server,Unforced Error,Baseline,Returner,8,8,4
Middle,Server,Winner,Baseline,Returner,9,8,7
Cross Court,Server,Winner,Baseline,Server,10,8,5
Cross Court,Returner,Winner,Mid-Court,Returner,10,8,6
Middle,Server,Forced Error,Baseline,Server,9,10,6
Middle,Returner,Forced Error,Baseline,Returner,9,10,9
Cross Court,Returner,Unforced Error,Baseline,Server,10,9,5
Down The Line,Returner,Winner,Baseline,Both,10,9,6
Cross Court,Server,Winner,Baseline,Returner,11,9,3
Cross Court,Returner,Winner,Baseline,None,0,0,8
N/A,Server,Unforced Error,Baseline,None,1,0,2
Cross Court,Server,Winner,Baseline,None,2,0,5
Cross Court,Returner,Unforced Error,Mid-Court,Returner,2,0,5
Middle,Returner,Forced Error,Baseline,Both,0,2,9
Middle,Returner,Unforced Error,Baseline,Returner,2,0,3
Cross Court,Returner,Unforced Error,Baseline,None,0,2,7
Middle,Returner,Forced Error,Mid-Court,Both,2,0,5
Cross Court,Server,Winner,Mid-Court,Both,1,2,13
Cross Court,Server,Forced Error,Baseline,None,2,2,8
Down The Line,Server,Winner,Kitchen,Server,3,2,5
Cross Court,Returner,Winner,Baseline,Returner,3,2,8
N/A,Server,Unforced Error,Baseline,None,3,3,2
Cross Court,Returner,Forced Error,Kitchen,Both,3,3,17
Cross Court,Server,Winner,Kitchen,Server,4,3,7
Cross Court,Server,Unforced Error,Baseline,None,5,3,4
